Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-06-08,10:58:56,0.0538,25.38,24.81,3335,14964416.0,2.474683520623056e-05
2023-06-08,10:58:56,0.0823,25.38,24.81,3312,14964733.0,2.567414503143785e-05
2023-06-08,10:58:56,0.1127,25.38,24.81,3316,14964668.0,2.551041355212326e-05
2023-06-08,10:58:56,0.1165,25.38,24.81,3311,14964669.0,2.571524183617484e-05
2023-06-08,10:58:56,0.1205,25.38,24.81,3312,14964669.0,2.567414503143785e-05
2023-06-08,10:58:56,0.1244,25.38,24.81,3311,14964670.0,2.571524183617484e-05
2023-06-08,10:58:56,0.1283,25.38,24.81,3310,14964670.0,2.575640442488854e-05
2023-06-08,10:58:56,0.1321,25.38,24.81,3310,14964670.0,2.575640442488854e-05
2023-06-08,10:58:56,0.136,25.38,24.81,3311,14964670.0,2.571524183617484e-05
2023-06-08,10:58:56,0.1398,25.38,24.81,3311,14964670.0,2.571524183617484e-05
2023-06-08,10:58:56,0.1436,25.38,24.81,3311,14964670.0,2.571524183617484e-05
2023-06-08,10:58:56,0.1475,25.38,24.81,3312,14964670.0,2.567414503143785e-05
2023-06-08,10:58:56,0.1513,25.38,24.81,3312,14964670.0,2.567414503143785e-05
2023-06-08,10:58:56,0.1552,25.38,24.81,3311,14964670.0,2.571524183617484e-05
2023-06-08,10:58:56,0.159,25.38,24.81,3311,14964670.0,2.571524183617484e-05
2023-06-08,10:58:56,0.1628,25.38,24.81,3311,14964670.0,2.571524183617484e-05
2023-06-08,10:58:56,0.1668,25.38,24.81,3310,14964670.0,2.575640442488854e-05
2023-06-08,10:58:56,0.1707,25.38,24.81,3310,14964670.0,2.575640442488854e-05
2023-06-08,10:58:56,0.1744,25.38,24.81,3310,14964670.0,2.575640442488854e-05
2023-06-08,10:58:56,0.1783,25.38,24.81,3310,14964670.0,2.575640442488854e-05
2023-06-08,10:58:56,0.1822,25.38,24.81,3311,14964670.0,2.571524183617484e-05
2023-06-08,10:58:56,0.186,25.38,24.81,3311,14964670.0,2.571524183617484e-05
2023-06-08,10:58:56,0.19,25.38,24.81,3312,14964671.0,2.567414503143785e-05
2023-06-08,10:58:56,0.1938,25.38,24.81,3312,14964671.0,2.567414503143785e-05
2023-06-08,10:58:56,0.2014,25.38,24.66,3310,14964671.0,2.575640442488854e-05
2023-06-08,10:58:56,0.2052,25.38,24.66,3311,14964670.0,2.571524183617484e-05
2023-06-08,10:58:56,0.2092,25.38,24.66,3311,14964670.0,2.571524183617484e-05
2023-06-08,10:58:56,0.213,25.38,24.66,3312,14964671.0,2.567414503143785e-05
2023-06-08,10:58:56,0.2204,25.38,24.66,3311,14964669.0,2.571524183617484e-05
2023-06-08,10:58:56,0.2243,25.38,24.66,3311,14964670.0,2.571524183617484e-05
2023-06-08,10:58:56,0.2283,25.38,24.66,3311,14964670.0,2.571524183617484e-05
2023-06-08,10:58:56,0.2322,25.38,24.66,3311,14964670.0,2.571524183617484e-05
2023-06-08,10:58:56,0.2361,25.38,24.66,3312,14964672.0,2.567414503143785e-05
2023-06-08,10:58:56,0.2437,25.38,24.66,3311,14964668.0,2.571524183617484e-05
2023-06-08,10:58:56,0.2476,25.38,24.66,3311,14964671.0,2.571524183617484e-05
2023-06-08,10:58:56,0.2514,25.38,24.66,3311,14964671.0,2.571524183617484e-05
2023-06-08,10:58:56,0.2553,25.38,24.66,3311,14964671.0,2.571524183617484e-05
2023-06-08,10:58:56,0.2629,25.38,24.66,3310,14964671.0,2.575640442488854e-05
2023-06-08,10:58:56,0.2668,25.38,24.66,3311,14964670.0,2.571524183617484e-05
2023-06-08,10:58:56,0.2706,25.38,24.66,3311,14964670.0,2.571524183617484e-05
2023-06-08,10:58:56,0.2745,25.38,24.66,3311,14964671.0,2.571524183617484e-05
2023-06-08,10:58:56,0.2783,25.38,24.66,3312,14964670.0,2.567414503143785e-05
2023-06-08,10:58:56,0.286,25.38,24.66,3310,14964672.0,2.575640442488854e-05
2023-06-08,10:58:56,0.2898,25.38,24.66,3310,14964671.0,2.575640442488854e-05
2023-06-08,10:58:56,0.2937,25.38,24.66,3311,14964670.0,2.571524183617484e-05
2023-06-08,10:58:56,0.2975,25.38,24.66,3311,14964671.0,2.571524183617484e-05
2023-06-08,10:58:56,0.3052,25.38,24.66,3311,14964670.0,2.571524183617484e-05
2023-06-08,10:58:56,0.309,25.38,24.66,3310,14964671.0,2.575640442488854e-05
2023-06-08,10:58:56,0.3129,25.38,24.66,3310,14964671.0,2.575640442488854e-05
2023-06-08,10:58:56,0.3167,25.38,24.66,3312,14964670.0,2.567414503143785e-05
2023-06-08,10:58:56,0.3205,25.38,24.66,3312,14964670.0,2.567414503143785e-05
