Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-02-19,10:44:24,0.0516,26.56,24.75,3181,15050106.0,3.165859040574708e-05
2024-02-19,10:44:24,0.0803,26.56,24.75,3297,15050406.0,2.62975525628629e-05
2024-02-19,10:44:24,0.1143,26.56,24.75,3447,15050355.0,2.068816232671794e-05
2024-02-19,10:44:24,0.1249,26.56,24.75,3447,15050355.0,2.068816232671794e-05
2024-02-19,10:44:24,0.1354,26.56,24.75,3447,15050355.0,2.068816232671794e-05
2024-02-19,10:44:24,0.146,26.56,24.75,3447,15050355.0,2.068816232671794e-05
2024-02-19,10:44:24,0.1567,26.56,24.75,3447,15050356.0,2.068816232671794e-05
2024-02-19,10:44:24,0.1673,26.56,24.75,3447,15050356.0,2.068816232671794e-05
2024-02-19,10:44:24,0.1779,26.56,24.75,3447,15050355.0,2.068816232671794e-05
2024-02-19,10:44:24,0.1885,26.56,24.75,3447,15050354.0,2.068816232671794e-05
2024-02-19,10:44:24,0.1991,26.56,24.75,3447,15050354.0,2.068816232671794e-05
2024-02-19,10:44:24,0.2098,26.56,24.75,3447,15050354.0,2.068816232671794e-05
2024-02-19,10:44:24,0.2204,26.56,24.75,3448,15050355.0,2.06550995473389e-05
2024-02-19,10:44:24,0.231,26.56,24.75,3447,15050356.0,2.068816232671794e-05
2024-02-19,10:44:24,0.2416,26.56,24.75,3446,15050355.0,2.072127802994648e-05
2024-02-19,10:44:24,0.2522,26.56,24.75,3446,15050355.0,2.072127802994648e-05
2024-02-19,10:44:24,0.2628,26.56,24.75,3446,15050355.0,2.072127802994648e-05
2024-02-19,10:44:24,0.2734,26.56,24.75,3447,15050355.0,2.068816232671794e-05
2024-02-19,10:44:24,0.2839,26.56,24.75,3447,15050355.0,2.068816232671794e-05
2024-02-19,10:44:24,0.2945,26.56,24.75,3447,15050355.0,2.068816232671794e-05
2024-02-19,10:44:24,0.3052,26.56,24.75,3447,15050355.0,2.068816232671794e-05
2024-02-19,10:44:24,0.3158,26.56,24.75,3447,15050355.0,2.068816232671794e-05
2024-02-19,10:44:24,0.3264,26.56,24.75,3448,15050355.0,2.06550995473389e-05
2024-02-19,10:44:24,0.3369,26.56,24.75,3448,15050355.0,2.06550995473389e-05
2024-02-19,10:44:24,0.3475,26.56,24.75,3448,15050356.0,2.06550995473389e-05
2024-02-19,10:44:24,0.3581,26.56,24.75,3448,15050356.0,2.06550995473389e-05
2024-02-19,10:44:24,0.3687,26.56,24.75,3448,15050356.0,2.06550995473389e-05
2024-02-19,10:44:24,0.3793,26.56,24.75,3448,15050356.0,2.06550995473389e-05
2024-02-19,10:44:24,0.3899,26.56,24.75,3448,15050356.0,2.06550995473389e-05
2024-02-19,10:44:24,0.4004,26.56,24.75,3448,15050356.0,2.06550995473389e-05
2024-02-19,10:44:24,0.4111,26.56,24.75,3447,15050355.0,2.068816232671794e-05
2024-02-19,10:44:25,0.4218,26.56,24.75,3447,15050355.0,2.068816232671794e-05
2024-02-19,10:44:25,0.4324,26.56,24.75,3448,15050356.0,2.06550995473389e-05
2024-02-19,10:44:25,0.4429,26.5,24.75,3448,15050356.0,2.06550995473389e-05
2024-02-19,10:44:25,0.4534,26.5,24.75,3448,15050355.0,2.06550995473389e-05
2024-02-19,10:44:25,0.4641,26.5,24.75,3448,15050355.0,2.06550995473389e-05
2024-02-19,10:44:25,0.4747,26.5,24.75,3447,15050355.0,2.068816232671794e-05
2024-02-19,10:44:25,0.4852,26.5,24.75,3447,15050355.0,2.068816232671794e-05
2024-02-19,10:44:25,0.4958,26.5,24.75,3447,15050355.0,2.068816232671794e-05
2024-02-19,10:44:25,0.5064,26.5,24.75,3447,15050355.0,2.068816232671794e-05
2024-02-19,10:44:25,0.5276,26.5,24.75,3447,15050355.0,2.068816232671794e-05
2024-02-19,10:44:25,0.5382,26.5,24.75,3448,15050355.0,2.06550995473389e-05
2024-02-19,10:44:25,0.5488,26.5,24.75,3447,15050355.0,2.068816232671794e-05
2024-02-19,10:44:25,0.5594,26.5,24.75,3446,15050356.0,2.072127802994648e-05
2024-02-19,10:44:25,0.57,26.5,24.75,3447,15050356.0,2.068816232671794e-05
2024-02-19,10:44:25,0.5806,26.5,24.75,3447,15050355.0,2.068816232671794e-05
2024-02-19,10:44:25,0.5912,26.5,24.75,3447,15050355.0,2.068816232671794e-05
2024-02-19,10:44:25,0.6018,26.5,24.75,3448,15050356.0,2.06550995473389e-05
2024-02-19,10:44:25,0.6124,26.5,24.75,3448,15050356.0,2.06550995473389e-05
2024-02-19,10:44:25,0.623,26.5,24.75,3447,15050355.0,2.068816232671794e-05
2024-02-19,10:44:25,0.6336,26.5,24.75,3447,15050355.0,2.068816232671794e-05
2024-02-19,10:44:25,0.6442,26.5,24.75,3448,15050355.0,2.06550995473389e-05
2024-02-19,10:44:25,0.6548,26.5,24.75,3448,15050355.0,2.06550995473389e-05
2024-02-19,10:44:25,0.6653,26.5,24.75,3448,15050356.0,2.06550995473389e-05
2024-02-19,10:44:25,0.6759,26.5,24.75,3447,15050356.0,2.068816232671794e-05
2024-02-19,10:44:25,0.6865,26.5,24.75,3447,15050356.0,2.068816232671794e-05
2024-02-19,10:44:25,0.6971,26.5,24.75,3448,15050356.0,2.06550995473389e-05
2024-02-19,10:44:25,0.7076,26.5,24.75,3448,15050356.0,2.06550995473389e-05
