Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-11-27,10:47:03,0.0539,23.44,25.25,3320,14946230.0,2.534772623600419e-05
2023-11-27,10:47:03,0.0822,23.44,25.25,3298,14946519.0,2.625552513844194e-05
2023-11-27,10:47:03,0.1125,23.44,25.25,3302,14946443.0,2.608808602933685e-05
2023-11-27,10:47:03,0.1162,23.44,25.25,3293,14946445.0,2.64663360745325e-05
2023-11-27,10:47:03,0.1199,23.44,25.25,3294,14946446.0,2.642403890880146e-05
2023-11-27,10:47:03,0.1236,23.44,25.25,3295,14946446.0,2.638180934027105e-05
2023-11-27,10:47:03,0.1272,23.44,25.25,3295,14946446.0,2.638180934027105e-05
2023-11-27,10:47:03,0.1309,23.44,25.25,3294,14946446.0,2.642403890880146e-05
2023-11-27,10:47:03,0.1347,23.44,25.25,3293,14946445.0,2.64663360745325e-05
2023-11-27,10:47:03,0.1384,23.44,25.25,3293,14946446.0,2.64663360745325e-05
2023-11-27,10:47:03,0.1422,23.44,25.25,3293,14946446.0,2.64663360745325e-05
2023-11-27,10:47:03,0.1458,23.44,25.0,3293,14946445.0,2.64663360745325e-05
2023-11-27,10:47:03,0.1494,23.44,25.0,3294,14946446.0,2.642403890880146e-05
2023-11-27,10:47:03,0.1532,23.44,25.0,3294,14946446.0,2.642403890880146e-05
2023-11-27,10:47:03,0.1569,23.44,25.0,3293,14946446.0,2.64663360745325e-05
2023-11-27,10:47:03,0.1606,23.44,25.0,3293,14946446.0,2.64663360745325e-05
2023-11-27,10:47:03,0.1644,23.44,25.0,3293,14946447.0,2.64663360745325e-05
2023-11-27,10:47:03,0.1679,23.44,25.0,3294,14946446.0,2.642403890880146e-05
2023-11-27,10:47:03,0.1716,23.44,25.0,3294,14946445.0,2.642403890880146e-05
2023-11-27,10:47:03,0.1754,23.44,25.0,3293,14946446.0,2.64663360745325e-05
2023-11-27,10:47:03,0.1791,23.44,25.0,3293,14946446.0,2.64663360745325e-05
2023-11-27,10:47:03,0.1828,23.44,25.0,3293,14946446.0,2.64663360745325e-05
2023-11-27,10:47:03,0.1865,23.44,25.0,3293,14946446.0,2.64663360745325e-05
2023-11-27,10:47:03,0.1902,23.44,25.0,3294,14946445.0,2.642403890880146e-05
2023-11-27,10:47:03,0.1976,23.44,25.0,3294,14946445.0,2.642403890880146e-05
2023-11-27,10:47:03,0.2013,23.44,25.0,3295,14946445.0,2.638180934027105e-05
2023-11-27,10:47:03,0.2051,23.44,25.0,3294,14946446.0,2.642403890880146e-05
2023-11-27,10:47:03,0.2086,23.44,25.0,3293,14946446.0,2.64663360745325e-05
