Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-07-24,10:11:37,0.0542,26.38,23.75,3241,15332063.0,2.876167717498871e-05
2024-07-24,10:11:37,0.0822,26.38,23.75,3212,15332422.0,3.012716513515561e-05
2024-07-24,10:11:37,0.1129,26.38,23.75,3237,15332338.0,2.894627598369905e-05
2024-07-24,10:11:37,0.1175,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:37,0.122,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:37,0.1265,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:37,0.1309,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:37,0.1354,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:37,0.14,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:37,0.1446,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:37,0.1491,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:37,0.1536,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:37,0.1581,26.38,23.75,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:37,0.1626,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:37,0.1672,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:37,0.1717,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:37,0.1761,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:37,0.1807,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:37,0.1852,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:37,0.1897,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:37,0.1942,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:37,0.1987,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:37,0.2033,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:37,0.2079,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:37,0.2124,26.38,23.75,3232,15332339.0,2.917869150402409e-05
2024-07-24,10:11:37,0.2168,26.38,23.75,3232,15332339.0,2.917869150402409e-05
2024-07-24,10:11:37,0.2214,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:37,0.2259,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:38,0.2304,26.38,23.75,3232,15332339.0,2.917869150402409e-05
2024-07-24,10:11:38,0.235,26.38,23.75,3232,15332339.0,2.917869150402409e-05
2024-07-24,10:11:38,0.2395,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:38,0.244,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:38,0.2486,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:38,0.2531,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:38,0.2575,26.38,23.75,3232,15332339.0,2.917869150402409e-05
2024-07-24,10:11:38,0.2621,26.38,23.75,3232,15332339.0,2.917869150402409e-05
2024-07-24,10:11:38,0.2666,26.38,23.75,3232,15332339.0,2.917869150402409e-05
2024-07-24,10:11:38,0.2711,26.38,23.75,3232,15332339.0,2.917869150402409e-05
2024-07-24,10:11:38,0.2756,26.38,23.75,3232,15332339.0,2.917869150402409e-05
2024-07-24,10:11:38,0.2801,26.38,23.75,3232,15332339.0,2.917869150402409e-05
2024-07-24,10:11:38,0.2847,26.38,23.75,3232,15332339.0,2.917869150402409e-05
2024-07-24,10:11:38,0.2892,26.38,23.75,3232,15332339.0,2.917869150402409e-05
2024-07-24,10:11:38,0.2936,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:38,0.2982,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:38,0.3027,26.38,23.75,3232,15332339.0,2.917869150402409e-05
2024-07-24,10:11:38,0.3072,26.38,23.75,3232,15332339.0,2.917869150402409e-05
2024-07-24,10:11:38,0.3117,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:38,0.3162,26.38,23.75,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.3208,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:38,0.3254,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:38,0.3299,26.38,23.75,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.3343,26.38,23.75,3232,15332340.0,2.917869150402409e-05
2024-07-24,10:11:38,0.3388,26.38,23.75,3232,15332340.0,2.917869150402409e-05
2024-07-24,10:11:38,0.3433,26.38,23.75,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.3479,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:38,0.3525,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:38,0.357,26.38,23.75,3232,15332339.0,2.917869150402409e-05
2024-07-24,10:11:38,0.3615,26.38,23.75,3231,15332340.0,2.922539806370712e-05
2024-07-24,10:11:38,0.366,26.38,23.75,3232,15332340.0,2.917869150402409e-05
2024-07-24,10:11:38,0.3704,26.38,23.75,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.375,26.38,23.75,3234,15332340.0,2.908550219758169e-05
2024-07-24,10:11:38,0.3797,26.38,23.75,3234,15332339.0,2.908550219758169e-05
2024-07-24,10:11:38,0.3841,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:38,0.3885,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:38,0.393,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:38,0.3976,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:38,0.4021,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:38,0.4067,26.38,23.75,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.4113,26.38,23.75,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.4156,26.38,23.75,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.4201,26.38,23.75,3232,15332339.0,2.917869150402409e-05
2024-07-24,10:11:38,0.4247,26.38,23.75,3232,15332339.0,2.917869150402409e-05
2024-07-24,10:11:38,0.4292,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:38,0.4337,26.38,23.75,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.4381,26.38,23.75,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.4428,26.38,23.75,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:38,0.4474,26.38,23.75,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.4518,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.4563,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.4608,26.44,24.0,3232,15332340.0,2.917869150402409e-05
2024-07-24,10:11:38,0.4653,26.44,24.0,3232,15332340.0,2.917869150402409e-05
2024-07-24,10:11:38,0.4698,26.44,24.0,3232,15332340.0,2.917869150402409e-05
2024-07-24,10:11:38,0.4744,26.44,24.0,3232,15332340.0,2.917869150402409e-05
2024-07-24,10:11:38,0.4789,26.44,24.0,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:38,0.4833,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.4879,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.4924,26.44,24.0,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:38,0.4969,26.44,24.0,3232,15332340.0,2.917869150402409e-05
2024-07-24,10:11:38,0.5015,26.44,24.0,3232,15332340.0,2.917869150402409e-05
2024-07-24,10:11:38,0.506,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.5105,26.44,24.0,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:38,0.5151,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.5196,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.524,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.5285,26.44,24.0,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:38,0.533,26.44,24.0,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:38,0.5376,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.5422,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.5467,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.5512,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.5557,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.5601,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.5647,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.5692,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.5737,26.44,24.0,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:38,0.5783,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.5828,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.5873,26.44,24.0,3232,15332340.0,2.917869150402409e-05
2024-07-24,10:11:38,0.5917,26.44,24.0,3232,15332340.0,2.917869150402409e-05
2024-07-24,10:11:38,0.5962,26.44,24.0,3232,15332340.0,2.917869150402409e-05
2024-07-24,10:11:38,0.6008,26.44,24.0,3232,15332340.0,2.917869150402409e-05
2024-07-24,10:11:38,0.6054,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.6099,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.6144,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.6189,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.6234,26.44,24.0,3233,15332339.0,2.91320595884131e-05
2024-07-24,10:11:38,0.6278,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.6323,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.6369,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.6415,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.646,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.6505,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.6551,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.6596,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.6641,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.6687,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.6732,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.6776,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.6821,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.6866,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.6912,26.44,24.0,3234,15332340.0,2.908550219758169e-05
2024-07-24,10:11:38,0.6957,26.44,24.0,3234,15332340.0,2.908550219758169e-05
2024-07-24,10:11:38,0.7002,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.7048,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.7093,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.7137,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.7182,26.44,24.0,3234,15332340.0,2.908550219758169e-05
2024-07-24,10:11:38,0.7227,26.44,24.0,3234,15332340.0,2.908550219758169e-05
2024-07-24,10:11:38,0.7273,26.44,24.0,3234,15332340.0,2.908550219758169e-05
2024-07-24,10:11:38,0.7319,26.44,24.0,3234,15332340.0,2.908550219758169e-05
2024-07-24,10:11:38,0.7364,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.7409,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.7453,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.7498,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.7544,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.7589,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.7634,26.44,24.0,3234,15332340.0,2.908550219758169e-05
2024-07-24,10:11:38,0.768,26.44,24.0,3234,15332340.0,2.908550219758169e-05
2024-07-24,10:11:38,0.7725,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.777,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.7816,26.44,24.0,3233,15332340.0,2.91320595884131e-05
2024-07-24,10:11:38,0.7861,26.44,24.0,3232,15332340.0,2.917869150402409e-05
2024-07-24,10:11:38,0.7905,26.44,24.0,3232,15332340.0,2.917869150402409e-05
2024-07-24,10:11:38,0.7951,26.44,24.0,3233,15332340.0,2.91320595884131e-05
