Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-02-27,10:25:35,0.0528,26.69,24.0,3283,15093084.0,2.68930494685718e-05
2024-02-27,10:25:35,0.0807,26.69,24.0,3287,15093411.0,2.672154468165959e-05
2024-02-27,10:25:35,0.1119,26.69,24.0,3343,15093353.0,2.443220614540217e-05
2024-02-27,10:25:35,0.1178,26.69,24.0,3344,15093352.0,2.439315982370518e-05
2024-02-27,10:25:35,0.1236,26.69,24.0,3345,15093352.0,2.435417590387356e-05
2024-02-27,10:25:35,0.1293,26.69,24.0,3346,15093352.0,2.431525428617974e-05
2024-02-27,10:25:35,0.1352,26.69,24.0,3345,15093352.0,2.435417590387356e-05
2024-02-27,10:25:35,0.1411,26.69,24.0,3345,15093352.0,2.435417590387356e-05
2024-02-27,10:25:35,0.1469,26.69,24.0,3346,15093352.0,2.431525428617974e-05
2024-02-27,10:25:35,0.1528,26.69,24.0,3345,15093352.0,2.435417590387356e-05
2024-02-27,10:25:35,0.1587,26.69,24.0,3344,15093352.0,2.439315982370518e-05
2024-02-27,10:25:35,0.1644,26.69,24.0,3345,15093352.0,2.435417590387356e-05
2024-02-27,10:25:35,0.1703,26.69,24.0,3346,15093352.0,2.431525428617974e-05
2024-02-27,10:25:35,0.1762,26.69,24.0,3346,15093352.0,2.431525428617974e-05
2024-02-27,10:25:35,0.1821,26.69,24.0,3345,15093352.0,2.435417590387356e-05
2024-02-27,10:25:35,0.188,26.69,24.0,3345,15093352.0,2.435417590387356e-05
2024-02-27,10:25:35,0.1937,26.69,24.0,3346,15093352.0,2.431525428617974e-05
2024-02-27,10:25:35,0.1995,26.69,24.0,3346,15093352.0,2.431525428617974e-05
2024-02-27,10:25:35,0.2054,26.69,24.0,3345,15093352.0,2.435417590387356e-05
2024-02-27,10:25:35,0.2113,26.69,24.0,3345,15093352.0,2.435417590387356e-05
2024-02-27,10:25:35,0.217,26.69,24.0,3346,15093352.0,2.431525428617974e-05
2024-02-27,10:25:35,0.2228,26.69,24.0,3346,15093353.0,2.431525428617974e-05
2024-02-27,10:25:35,0.2287,26.69,24.0,3346,15093352.0,2.431525428617974e-05
2024-02-27,10:25:35,0.2346,26.69,24.0,3346,15093352.0,2.431525428617974e-05
2024-02-27,10:25:35,0.2405,26.69,24.0,3346,15093352.0,2.431525428617974e-05
2024-02-27,10:25:35,0.2463,26.69,24.0,3346,15093352.0,2.431525428617974e-05
2024-02-27,10:25:35,0.2521,26.69,24.0,3346,15093353.0,2.431525428617974e-05
2024-02-27,10:25:35,0.2579,26.69,24.0,3346,15093352.0,2.431525428617974e-05
2024-02-27,10:25:35,0.2637,26.69,24.0,3346,15093353.0,2.431525428617974e-05
2024-02-27,10:25:35,0.2696,26.69,24.0,3346,15093352.0,2.431525428617974e-05
2024-02-27,10:25:35,0.2754,26.69,24.0,3346,15093352.0,2.431525428617974e-05
2024-02-27,10:25:35,0.2813,26.69,24.0,3346,15093352.0,2.431525428617974e-05
2024-02-27,10:25:35,0.2872,26.69,24.0,3345,15093352.0,2.435417590387356e-05
2024-02-27,10:25:35,0.2929,26.69,24.0,3345,15093352.0,2.435417590387356e-05
2024-02-27,10:25:35,0.2988,26.69,24.0,3346,15093352.0,2.431525428617974e-05
2024-02-27,10:25:35,0.3047,26.69,24.0,3346,15093353.0,2.431525428617974e-05
2024-02-27,10:25:35,0.3105,26.69,24.0,3346,15093352.0,2.431525428617974e-05
