Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-02-19,10:54:27,0.0516,26.25,23.75,3164,15004235.0,3.253120581205106e-05
2024-02-19,10:54:27,0.0803,26.25,23.75,3275,15004537.0,2.723936837431255e-05
2024-02-19,10:54:27,0.1143,26.25,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.1253,26.25,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.1362,26.25,23.75,3419,15004476.0,2.16357200298074e-05
2024-02-19,10:54:27,0.1472,26.25,23.75,3418,15004476.0,2.167035249606166e-05
2024-02-19,10:54:27,0.1581,26.25,23.75,3418,15004477.0,2.167035249606166e-05
2024-02-19,10:54:27,0.1691,26.25,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.1801,26.25,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.1911,26.25,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.2021,26.25,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.213,26.25,23.75,3418,15004477.0,2.167035249606166e-05
2024-02-19,10:54:27,0.224,26.25,23.75,3418,15004477.0,2.167035249606166e-05
2024-02-19,10:54:27,0.235,26.25,23.75,3419,15004476.0,2.16357200298074e-05
2024-02-19,10:54:27,0.246,26.25,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.2569,26.25,23.75,3418,15004478.0,2.167035249606166e-05
2024-02-19,10:54:27,0.2679,26.25,23.75,3418,15004477.0,2.167035249606166e-05
2024-02-19,10:54:27,0.279,26.25,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.2899,26.25,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.3009,26.25,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.3119,26.25,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.3229,26.25,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.3339,26.25,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.3448,26.25,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.3558,26.25,23.75,3419,15004476.0,2.16357200298074e-05
2024-02-19,10:54:27,0.3668,26.25,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.3778,26.25,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.3887,26.25,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.3996,26.25,23.75,3418,15004477.0,2.167035249606166e-05
2024-02-19,10:54:27,0.4107,26.25,23.75,3418,15004477.0,2.167035249606166e-05
2024-02-19,10:54:27,0.4217,26.25,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.4326,26.25,23.75,3418,15004477.0,2.167035249606166e-05
2024-02-19,10:54:27,0.4436,26.19,23.75,3418,15004477.0,2.167035249606166e-05
2024-02-19,10:54:27,0.4546,26.19,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.4655,26.19,23.75,3419,15004478.0,2.16357200298074e-05
2024-02-19,10:54:27,0.4765,26.19,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.4875,26.19,23.75,3419,15004476.0,2.16357200298074e-05
2024-02-19,10:54:27,0.4984,26.19,23.75,3419,15004476.0,2.16357200298074e-05
2024-02-19,10:54:27,0.5094,26.19,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.5204,26.19,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.5314,26.19,23.75,3419,15004476.0,2.16357200298074e-05
2024-02-19,10:54:27,0.5424,26.19,23.75,3419,15004476.0,2.16357200298074e-05
2024-02-19,10:54:27,0.5535,26.19,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.5644,26.19,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.5753,26.19,23.75,3419,15004476.0,2.16357200298074e-05
2024-02-19,10:54:27,0.5863,26.19,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.5974,26.19,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.6083,26.19,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.6192,26.19,23.75,3420,15004478.0,2.160114291141693e-05
2024-02-19,10:54:27,0.6303,26.19,23.75,3420,15004478.0,2.160114291141693e-05
2024-02-19,10:54:27,0.6412,26.19,23.75,3420,15004478.0,2.160114291141693e-05
2024-02-19,10:54:27,0.6521,26.19,23.75,3420,15004478.0,2.160114291141693e-05
2024-02-19,10:54:27,0.6631,26.19,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:27,0.6741,26.19,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:28,0.685,26.19,23.75,3419,15004476.0,2.16357200298074e-05
2024-02-19,10:54:28,0.696,26.19,23.75,3418,15004477.0,2.167035249606166e-05
2024-02-19,10:54:28,0.707,26.19,23.75,3418,15004478.0,2.167035249606166e-05
2024-02-19,10:54:28,0.718,26.19,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:28,0.7289,26.19,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:28,0.74,26.19,23.75,3419,15004478.0,2.16357200298074e-05
2024-02-19,10:54:28,0.7509,26.19,23.75,3420,15004478.0,2.160114291141693e-05
2024-02-19,10:54:28,0.7618,26.19,23.75,3420,15004478.0,2.160114291141693e-05
2024-02-19,10:54:28,0.7728,26.19,23.75,3419,15004476.0,2.16357200298074e-05
2024-02-19,10:54:28,0.7838,26.19,23.75,3419,15004476.0,2.16357200298074e-05
2024-02-19,10:54:28,0.7947,26.19,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:28,0.8057,26.19,23.75,3418,15004478.0,2.167035249606166e-05
2024-02-19,10:54:28,0.8167,26.19,23.75,3418,15004477.0,2.167035249606166e-05
2024-02-19,10:54:28,0.8276,26.19,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:28,0.8386,26.19,23.75,3419,15004478.0,2.16357200298074e-05
2024-02-19,10:54:28,0.8496,26.19,23.75,3419,15004478.0,2.16357200298074e-05
2024-02-19,10:54:28,0.8605,26.19,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:28,0.8715,26.19,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:28,0.8825,26.19,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:28,0.8936,26.19,23.75,3418,15004477.0,2.167035249606166e-05
2024-02-19,10:54:28,0.9046,26.19,23.75,3418,15004477.0,2.167035249606166e-05
2024-02-19,10:54:28,0.9154,26.19,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:28,0.9263,26.19,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:28,0.9373,26.19,23.75,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:28,0.9484,26.25,24.0,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:28,0.9594,26.25,24.0,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:28,0.9704,26.25,24.0,3419,15004478.0,2.16357200298074e-05
2024-02-19,10:54:28,0.9814,26.25,24.0,3419,15004478.0,2.16357200298074e-05
2024-02-19,10:54:28,0.9922,26.25,24.0,3420,15004478.0,2.160114291141693e-05
2024-02-19,10:54:28,1.0032,26.25,24.0,3420,15004478.0,2.160114291141693e-05
2024-02-19,10:54:28,1.0142,26.25,24.0,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:28,1.0252,26.25,24.0,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:28,1.0361,26.25,24.0,3419,15004478.0,2.16357200298074e-05
2024-02-19,10:54:28,1.0472,26.25,24.0,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:28,1.0582,26.25,24.0,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:28,1.0692,26.25,24.0,3418,15004477.0,2.167035249606166e-05
2024-02-19,10:54:28,1.0802,26.25,24.0,3418,15004477.0,2.167035249606166e-05
2024-02-19,10:54:28,1.0912,26.25,24.0,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:28,1.1022,26.25,24.0,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:28,1.1131,26.25,24.0,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:28,1.1241,26.25,24.0,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:28,1.1351,26.25,24.0,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:28,1.1461,26.25,24.0,3419,15004478.0,2.16357200298074e-05
2024-02-19,10:54:28,1.1572,26.25,24.0,3418,15004478.0,2.167035249606166e-05
2024-02-19,10:54:28,1.1681,26.25,24.0,3419,15004478.0,2.16357200298074e-05
2024-02-19,10:54:28,1.1791,26.25,24.0,3420,15004478.0,2.160114291141693e-05
2024-02-19,10:54:28,1.19,26.25,24.0,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:28,1.201,26.25,24.0,3419,15004477.0,2.16357200298074e-05
2024-02-19,10:54:28,1.2121,26.25,24.0,3419,15004478.0,2.16357200298074e-05
2024-02-19,10:54:28,1.2231,26.25,24.0,3418,15004478.0,2.167035249606166e-05
2024-02-19,10:54:28,1.234,26.25,24.0,3418,15004478.0,2.167035249606166e-05
2024-02-19,10:54:28,1.2449,26.25,24.0,3419,15004478.0,2.16357200298074e-05
2024-02-19,10:54:28,1.2559,26.25,24.0,3419,15004478.0,2.16357200298074e-05
2024-02-19,10:54:28,1.2668,26.25,24.0,3418,15004478.0,2.167035249606166e-05
2024-02-19,10:54:28,1.2777,26.25,24.0,3418,15004477.0,2.167035249606166e-05
2024-02-19,10:54:28,1.2888,26.25,24.0,3419,15004477.0,2.16357200298074e-05
